;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
75;Anja Reinalter;Grüne;Anja;Reinalter;anja.reinalter@bundestag.de;Biberach;['88317', '88319', '88348', '88353', '88400', '88410', '88416', '88422', '88427', '88430', '88433', '88436', '88437', '88441', '88444', '88447', '88448', '88450', '88451', '88453', '88454', '88456', '88457', '88459', '88471', '88477', '88480', '88483', '88484', '88486', '88487', '88489', '88499', '88499', '88515', '88521', '88524', '88525', '88527']
76;Josef Rief;CDU/CSU (CDU);Josef;Rief;josef.rief@bundestag.de;Biberach;['88317', '88319', '88348', '88353', '88400', '88410', '88416', '88422', '88427', '88430', '88433', '88436', '88437', '88441', '88444', '88447', '88448', '88450', '88451', '88453', '88454', '88456', '88457', '88459', '88471', '88477', '88480', '88483', '88484', '88486', '88487', '88489', '88499', '88499', '88515', '88521', '88524', '88525', '88527']
77;Martin Gerster;SPD;Martin;Gerster;martin.gerster@bundestag.de;Biberach;['88317', '88319', '88348', '88353', '88400', '88410', '88416', '88422', '88427', '88430', '88433', '88436', '88437', '88441', '88444', '88447', '88448', '88450', '88451', '88453', '88454', '88456', '88457', '88459', '88471', '88477', '88480', '88483', '88484', '88486', '88487', '88489', '88499', '88499', '88515', '88521', '88524', '88525', '88527']
78;Wiebke Esdar;SPD;Wiebke;Esdar;wiebke.esdar@bundestag.de;Bielefeld – Gütersloh II;['33602', '33604', '33605', '33607', '33609', '33611', '33613', '33615', '33617', '33619', '33647', '33649', '33659', '33689', '33699', '33719', '33729', '33739', '33824']
79;Britta Haßelmann;Grüne;Britta;Haßelmann;britta.haßelmann@bundestag.de;Bielefeld – Gütersloh II;['33602', '33604', '33605', '33607', '33609', '33611', '33613', '33615', '33617', '33619', '33647', '33649', '33659', '33689', '33699', '33719', '33729', '33739', '33824']
80;Patrick Schnieder;CDU/CSU (CDU);Patrick;Schnieder;patrick.schnieder@bundestag.de;Bitburg;['53520', '53539', '54298', '54298', '54298', '54310', '54310', '54516', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54523', '54524', '54526', '54528', '54529', '54531', '54533', '54534', '54536', '54538', '54550', '54552', '54558', '54568', '54570', '54574', '54576', '54578', '54579', '54584', '54585', '54586', '54587', '54589', '54595', '54597', '54608', '54610', '54611', '54612', '54614', '54616', '54617', '54619', '54634', '54636', '54646', '54647', '54649', '54655', '54657', '54662', '54664', '54666', '54668', '54669', '54673', '54675', '54687', '54689', '56729', '56766', '56766', '56767', '56769', '56861']
81;Lena Werner;SPD;Lena;Werner;lena.werner@bundestag.de;Bitburg;['53520', '53539', '54298', '54298', '54298', '54310', '54310', '54516', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54518', '54523', '54524', '54526', '54528', '54529', '54531', '54533', '54534', '54536', '54538', '54550', '54552', '54558', '54568', '54570', '54574', '54576', '54578', '54579', '54584', '54585', '54586', '54587', '54589', '54595', '54597', '54608', '54610', '54611', '54612', '54614', '54616', '54617', '54619', '54634', '54636', '54646', '54647', '54649', '54655', '54657', '54662', '54664', '54666', '54668', '54669', '54673', '54675', '54687', '54689', '56729', '56766', '56766', '56767', '56769', '56861']
82;Florian Toncar;FDP;Florian;Toncar;florian.toncar@bundestag.de;Böblingen;['71032', '71034', '71063', '71065', '71067', '71069', '71083', '71088', '71093', '71101', '71106', '71116', '71120', '71126', '71131', '71134', '71139', '71149', '71154', '71155', '71157', '71159', '71229', '71263', '71272', '71277', '71287', '75392']
83;Markus Frohnmaier;AfD;Markus;Frohnmaier;markus.frohnmaier@bundestag.de;Böblingen;['71032', '71034', '71063', '71065', '71067', '71069', '71083', '71088', '71093', '71101', '71106', '71116', '71120', '71126', '71131', '71134', '71139', '71149', '71154', '71155', '71157', '71159', '71229', '71263', '71272', '71277', '71287', '75392']
84;Marc Biadacz;CDU/CSU (CDU);Marc;Biadacz;marc.biadacz@bundestag.de;Böblingen;['71032', '71034', '71063', '71065', '71067', '71069', '71083', '71088', '71093', '71101', '71106', '71116', '71120', '71126', '71131', '71134', '71139', '71149', '71154', '71155', '71157', '71159', '71229', '71263', '71272', '71277', '71287', '75392']
85;Jasmina Hostert;SPD;Jasmina;Hostert;jasmina.hostert@bundestag.de;Böblingen;['71032', '71034', '71063', '71065', '71067', '71069', '71083', '71088', '71093', '71101', '71106', '71116', '71120', '71126', '71131', '71134', '71139', '71149', '71154', '71155', '71157', '71159', '71229', '71263', '71272', '71277', '71287', '75392']
86;Tobias B. Bacherle;Grüne;Tobias;B.;tobias.b.@bundestag.de;Böblingen;['71032', '71034', '71063', '71065', '71067', '71069', '71083', '71088', '71093', '71101', '71106', '71116', '71120', '71126', '71131', '71134', '71139', '71149', '71154', '71155', '71157', '71159', '71229', '71263', '71272', '71277', '71287', '75392']
87;Axel Schäfer;SPD;Axel;Schäfer;axel.schäfer@bundestag.de;Bochum I;['33791', '44787', '44789', '44791', '44791', '44791', '44793', '44795', '44797', '44799', '44801', '44803', '44803', '44803', '44805', '44805', '44807', '44809', '44866', '44867', '44869', '44879']
88;Sevim Dağdelen;Linke;Sevim;Dağdelen;sevim.dağdelen@bundestag.de;Bochum I;['33791', '44787', '44789', '44791', '44791', '44791', '44793', '44795', '44797', '44799', '44801', '44803', '44803', '44803', '44805', '44805', '44807', '44809', '44866', '44867', '44869', '44879']
89;Max Lucks;Grüne;Max;Lucks;max.lucks@bundestag.de;Bochum I;['33791', '44787', '44789', '44791', '44791', '44791', '44793', '44795', '44797', '44799', '44801', '44803', '44803', '44803', '44805', '44805', '44807', '44809', '44866', '44867', '44869', '44879']
90;Olaf in der Beek;FDP;Olaf;in;olaf.in@bundestag.de;Bochum I;['33791', '44787', '44789', '44791', '44791', '44791', '44793', '44795', '44797', '44799', '44801', '44803', '44803', '44803', '44805', '44805', '44807', '44809', '44866', '44867', '44869', '44879']
91;Alice Weidel;AfD;Alice;Weidel;alice.weidel@bundestag.de;Bodensee;['78354', '88045', '88046', '88048', '88069', '88074', '88079', '88085', '88090', '88094', '88097', '88099', '88630', '88633', '88634', '88636', '88639', '88662', '88677', '88682', '88690', '88693', '88696', '88697', '88699', '88709', '88718', '88719']
92;Volker Mayer-Lay;CDU/CSU (CDU);Volker;Mayer-Lay;volker.mayer-lay@bundestag.de;Bodensee;['78354', '88045', '88046', '88048', '88069', '88074', '88079', '88085', '88090', '88094', '88097', '88099', '88630', '88633', '88634', '88636', '88639', '88662', '88677', '88682', '88690', '88693', '88696', '88697', '88699', '88709', '88718', '88719']
93;Alexander Graf Lambsdorff;FDP;Alexander;Graf;alexander.graf@bundestag.de;Bonn;['53111', '53113', '53115', '53117', '53119', '53121', '53123', '53125', '53127', '53129', '53173', '53175', '53177', '53179', '53225', '53227', '53229']
94;Katrin Uhlig;Grüne;Katrin;Uhlig;katrin.uhlig@bundestag.de;Bonn;['53111', '53113', '53115', '53117', '53119', '53121', '53123', '53125', '53127', '53129', '53173', '53175', '53177', '53179', '53225', '53227', '53229']
95;Jessica Rosenthal;SPD;Jessica;Rosenthal;jessica.rosenthal@bundestag.de;Bonn;['53111', '53113', '53115', '53117', '53119', '53121', '53123', '53125', '53127', '53129', '53173', '53175', '53177', '53179', '53225', '53227', '53229']
96;Franziska Kersten;SPD;Franziska;Kersten;franziska.kersten@bundestag.de;Börde – Jerichower Land;['39164', '39167', '39171', '39175', '39179', '39245', '39264', '39279', '39288', '39291', '39307', '39317', '39319', '39326', '39340', '39343', '39345', '39356', '39359', '39365', '39387', '39393', '39397', '39397', '39398', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39638', '39638', '39638', '39638', '39646']
97;Jan Schmidt;AfD;Jan;Schmidt;jan.schmidt@bundestag.de;Börde – Jerichower Land;['39164', '39167', '39171', '39175', '39179', '39245', '39264', '39279', '39288', '39291', '39307', '39317', '39319', '39326', '39340', '39343', '39345', '39356', '39359', '39365', '39387', '39393', '39397', '39397', '39398', '39517', '39517', '39517', '39517', '39517', '39517', '39517', '39638', '39638', '39638', '39638', '39646']
98;Michael Espendiller;AfD;Michael;Espendiller;michael.espendiller@bundestag.de;Borken II;['46325', '46342', '46348', '46354', '46359', '46395', '46397', '46399', '46414', '46419', '48691', '48703', '48712', '48734']
99;Karlheinz Busen;FDP;Karlheinz;Busen;karlheinz.busen@bundestag.de;Borken II;['46325', '46342', '46348', '46354', '46359', '46395', '46397', '46399', '46414', '46419', '48691', '48703', '48712', '48734']
100;Nadine Heselhaus;SPD;Nadine;Heselhaus;nadine.heselhaus@bundestag.de;Borken II;['46325', '46342', '46348', '46354', '46359', '46395', '46397', '46399', '46414', '46419', '48691', '48703', '48712', '48734']
101;Anne König;CDU/CSU (CDU);Anne;König;anne.könig@bundestag.de;Borken II;['46325', '46342', '46348', '46354', '46359', '46395', '46397', '46399', '46414', '46419', '48691', '48703', '48712', '48734']
102;Michael Gerdes;SPD;Michael;Gerdes;michael.gerdes@bundestag.de;Bottrop – Recklinghausen III;['45964', '45966', '45968', '46236', '46238', '46240', '46242', '46244', '46282', '46284', '46286']
103;Sonja Eichwede;SPD;Sonja;Eichwede;sonja.eichwede@bundestag.de;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;['14547', '14550', '14554', '14712', '14715', '14715', '14715', '14715', '14715', '14727', '14770', '14772', '14774', '14776', '14778', '14789', '14793', '14797', '14798', '14806', '14822', '14823', '14827', '14828', '14913', '14913', '14929']
104;Carsten Müller;CDU/CSU (CDU);Carsten;Müller;carsten.müller@bundestag.de;Braunschweig;['38100', '38102', '38104', '38106', '38108', '38110', '38112', '38114', '38116', '38118', '38120', '38122', '38124', '38126']
105;Christos Pantazis;SPD;Christos;Pantazis;christos.pantazis@bundestag.de;Braunschweig;['38100', '38102', '38104', '38106', '38108', '38110', '38112', '38114', '38116', '38118', '38120', '38122', '38124', '38126']
106;Anikó Merten;FDP;Anikó;Merten;anikó.merten@bundestag.de;Braunschweig;['38100', '38102', '38104', '38106', '38108', '38110', '38112', '38114', '38116', '38118', '38120', '38122', '38124', '38126']
107;Sarah Ryglewski;SPD;Sarah;Ryglewski;sarah.ryglewski@bundestag.de;Bremen I;['28195', '28199', '28201', '28203', '28205', '28207', '28209', '28211', '28213', '28215', '28259', '28277', '28279', '28307', '28309', '28325', '28327', '28329', '28355', '28357', '28357', '28357', '28359']
108;Kirsten Kappert-Gonther;Grüne;Kirsten;Kappert-Gonther;kirsten.kappert-gonther@bundestag.de;Bremen I;['28195', '28199', '28201', '28203', '28205', '28207', '28209', '28211', '28213', '28215', '28259', '28277', '28279', '28307', '28309', '28325', '28327', '28329', '28355', '28357', '28357', '28357', '28359']
109;Volker Redder;FDP;Volker;Redder;volker.redder@bundestag.de;Bremen I;['28195', '28199', '28201', '28203', '28205', '28207', '28209', '28211', '28213', '28215', '28259', '28277', '28279', '28307', '28309', '28325', '28327', '28329', '28355', '28357', '28357', '28357', '28359']
110;Thomas Röwekamp;CDU/CSU (CDU);Thomas;Röwekamp;thomas.röwekamp@bundestag.de;Bremen I;['28195', '28199', '28201', '28203', '28205', '28207', '28209', '28211', '28213', '28215', '28259', '28277', '28279', '28307', '28309', '28325', '28327', '28329', '28355', '28357', '28357', '28357', '28359']
111;Uwe Schmidt;SPD;Uwe;Schmidt;uwe.schmidt@bundestag.de;Bremen II – Bremerhaven;['27568', '27570', '27572', '27574', '27576', '27578', '27580', '28197', '28215', '28215', '28215', '28217', '28219', '28237', '28239', '28357', '28717', '28719', '28755', '28757', '28759', '28777', '28779']
112;Olav Gutting;CDU/CSU (CDU);Olav;Gutting;olav.gutting@bundestag.de;Bruchsal – Schwetzingen;['68723', '68753', '68766', '68775', '68782', '68794', '68799', '68804', '68809', '76646', '76661', '76669', '76684', '76689', '76694', '76698', '76707', '76709']
113;Martin Reichardt;AfD;Martin;Reichardt;martin.reichardt@bundestag.de;Burgenland – Saalekreis;['06231', '06237', '06242', '06254', '06258', '06259', '06618', '06628', '06632', '06636', '06638', '06642', '06647', '06648', '06667', '06679', '06682', '06686', '06688', '06712', '06721', '06722', '06724', '06727', '06729']
114;Dieter Stier;CDU/CSU (CDU);Dieter;Stier;dieter.stier@bundestag.de;Burgenland – Saalekreis;['06231', '06237', '06242', '06254', '06258', '06259', '06618', '06628', '06632', '06636', '06638', '06642', '06647', '06648', '06667', '06679', '06682', '06686', '06688', '06712', '06721', '06722', '06724', '06727', '06729']
115;Saskia Esken;SPD;Saskia;Esken;saskia.esken@bundestag.de;Calw;['72160', '72178', '72184', '72186', '72202', '72213', '72218', '72221', '72224', '72226', '72227', '72229', '72250', '72270', '72275', '72280', '72285', '72290', '72293', '72294', '72296', '72297', '72299', '75323', '75328', '75335', '75337', '75339', '75365', '75378', '75382', '75385', '75387', '75389', '75391', '75394', '75395', '75397', '75399', '76332', '77776']
116;Klaus Mack;CDU/CSU (CDU);Klaus;Mack;klaus.mack@bundestag.de;Calw;['72160', '72178', '72184', '72186', '72202', '72213', '72218', '72221', '72224', '72226', '72227', '72229', '72250', '72270', '72275', '72280', '72285', '72290', '72293', '72294', '72296', '72297', '72299', '75323', '75328', '75335', '75337', '75339', '75365', '75378', '75382', '75385', '75387', '75389', '75391', '75394', '75395', '75397', '75399', '76332', '77776']
117;Henning Otte;CDU/CSU (CDU);Henning;Otte;henning.otte@bundestag.de;Celle – Uelzen;['29221', '29223', '29225', '29227', '29229', '29303', '29308', '29313', '29320', '29323', '29328', '29331', '29336', '29339', '29342', '29345', '29348', '29351', '29352', '29353', '29355', '29356', '29358', '29359', '29361', '29362', '29364', '29389', '29394', '29525', '29549', '29553', '29556', '29559', '29562', '29565', '29568', '29571', '29574', '29575', '29576', '29578', '29579', '29581', '29582', '29584', '29585', '29587', '29588', '29590', '29591', '29593', '29594', '29596', '29597', '29599']
118;Thomas Ehrhorn;AfD;Thomas;Ehrhorn;thomas.ehrhorn@bundestag.de;Celle – Uelzen;['29221', '29223', '29225', '29227', '29229', '29303', '29308', '29313', '29320', '29323', '29328', '29331', '29336', '29339', '29342', '29345', '29348', '29351', '29352', '29353', '29355', '29356', '29358', '29359', '29361', '29362', '29364', '29389', '29394', '29525', '29549', '29553', '29556', '29559', '29562', '29565', '29568', '29571', '29574', '29575', '29576', '29578', '29579', '29581', '29582', '29584', '29585', '29587', '29588', '29590', '29591', '29593', '29594', '29596', '29597', '29599']
119;Anja Schulz;FDP;Anja;Schulz;anja.schulz@bundestag.de;Celle – Uelzen;['29221', '29223', '29225', '29227', '29229', '29303', '29308', '29313', '29320', '29323', '29328', '29331', '29336', '29339', '29342', '29345', '29348', '29351', '29352', '29353', '29355', '29356', '29358', '29359', '29361', '29362', '29364', '29389', '29394', '29525', '29549', '29553', '29556', '29559', '29562', '29565', '29568', '29571', '29574', '29575', '29576', '29578', '29579', '29581', '29582', '29584', '29585', '29587', '29588', '29590', '29591', '29593', '29594', '29596', '29597', '29599']
120;Detlef Müller;SPD;Detlef;Müller;detlef.müller@bundestag.de;Chemnitz;['09111', '09112', '09113', '09114', '09116', '09117', '09119', '09120', '09122', '09123', '09125', '09126', '09127', '09128', '09130', '09131', '09224', '09228', '09328']
121;Frank Müller-Rosentritt;FDP;Frank;Müller-Rosentritt;frank.müller-rosentritt@bundestag.de;Chemnitz;['09111', '09112', '09113', '09114', '09116', '09117', '09119', '09120', '09122', '09123', '09125', '09126', '09127', '09128', '09130', '09131', '09224', '09228', '09328']
122;Bernhard Herrmann;Grüne;Bernhard;Herrmann;bernhard.herrmann@bundestag.de;Chemnitzer Umland – Erzgebirgskreis II;['08297', '09212', '09217', '09221', '09232', '09235', '09236', '09241', '09243', '09244', '09247', '09249', '09306', '09322', '09326', '09337', '09350', '09353', '09355', '09356', '09366', '09376', '09380', '09385', '09387', '09390', '09392', '09394', '09395', '09399', '09434']
123;Carlos Kasper;SPD;Carlos;Kasper;carlos.kasper@bundestag.de;Chemnitzer Umland – Erzgebirgskreis II;['08297', '09212', '09217', '09221', '09232', '09235', '09236', '09241', '09243', '09244', '09247', '09249', '09306', '09322', '09326', '09337', '09350', '09353', '09355', '09356', '09366', '09376', '09380', '09385', '09387', '09390', '09392', '09394', '09395', '09399', '09434']
